opus_no,subpanel,coordinator_title,institution,name_short
16,NZ5,dr hab.,"Wydział Lekarski i Nauk o Zdrowiu, Wydział Lekarski i Nauk o Zdrowiu",Poszukiwanie klinicznie istotnych wariantów genetycznych u młodych kobiet z zaburzeniami statyki narządów miednicy mniej...
16,NZ7,dr hab.,"Warszawski Uniwersytet Medyczny, Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej, Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej","Nowe, racjonalnie zaprojektowane modulatory importu enzymów do glikosomu w pasożytach Trypanosoma"
16,NZ7,dr hab.,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej, Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej",Badanie interakcji pomiędzy siloksanami (silikonami) a strukturą ludzkiej skóry jak również ocena ich skutków.
16,NZ8,dr hab.,"Wydział Nauk Przyrodniczych, Wydział Nauk Przyrodniczych",Zakres i drogi dyspersji genów w metapopulacji wiatropylnego drzewa iglastego rozsiewanego przez ptaki
16,NZ8,dr hab.,"Uniwersytet Jagielloński, Wydział Biologii, Wydział Biologii",Ekofizjologia uczenia się: Wpływ krótko- i długo-terminowych wahań temperatury otoczenia na uczenie się u modelowego gat...
16,NZ9,dr hab.,"Uniwersytet Łódzki, Wydział Biologii i Ochrony Środowiska, Wydział Biologii i Ochrony Środowiska",Aktywność biologiczna ekstraktów z wybranych gatunków rzewienia (Rheum L.) - badania właściwości surowca w aspekcie ocen...
16,ST10,dr hab.,"Uniwersytet Śląski w Katowicach, Wydział Nauk o Ziemi, Wydział Nauk o Ziemi",Grzyby jako źródło nowych biomarkerów w osadowej materii organicznej
16,ST10,dr hab.,"Uniwersytet Śląski w Katowicach, Wydział Nauk o Ziemi, Wydział Nauk o Ziemi",Paleoekologia i rozwój środkowodewońskich organizmów twardego podłoża na szelfie północnej Gondwany
16,ST5,dr hab.,"Wydział Farmaceutyczny z Oddziałem Medycyny Laboratoryjnej, Wydział Chemiczny",Poszukiwanie korelacji struktura-aktywność przeciwdrobnoustrojowa wybranych grup związków boraheterocyklicznych
16,ST6,dr hab.,"Wydział Matematyki, Fizyki i Informatyki, Wydział Matematyki, Fizyki i Informatyki","Wyzwania dla automatycznego wnioskowania w rozstrzygalnych fragmentach logiki pierwszego rzędu: drzewa, porządki i licze..."
16,ST7,dr hab.,Instytut Łączności - Państwowy Instytut Badawczy,Optymalizacja konwergentnych sieci transportowych 5G z komutacją pakietów i przepływami ruchu wrażliwymi na opóźnienia...
16,ST8,dr hab.,"Politechnika Poznańska, Wydział Technologii Chemicznej, Wydział Technologii Chemicznej","Badanie wpływu modyfikacji elektrolitu oraz materiału elektrodowego cieczami jonowymi z anionem 2,5-dihydroksybenzenosul..."
16,ST8,dr hab.,"Wydział Chemiczny, Wydział Chemiczny",Układy ciekłokrystaliczne jako źródła elektrycznie przestrajanego białego światła laserowego
1,HS1,dr hab.,"Akademia im. Jana Długosza w Częstochowie, Wydział Matematyczno-Przyrodniczy",Relacje tolerancji w kratach i ich wykorzystanie
4,ST5,dr hab.,Centrum Materiałów Polimerowych i Węglowych PAN,"Nowe funkcjonalizowane kopolimery węglanowe. Badania otrzymywania nowoczesnych, funkcyjnych i biozgodnych materiałów met..."
1,NZ6,dr hab.,"Uniwersytet Jagielloński, Wydział Biochemii, Biofizyki i Biotechnologii",Rola metaloproteinazy powierzchniowej ADAM17 w regulacji odpowiedzi humoralnej.
1,ST6,dr hab.,"Akademia im. Jana Długosza w Częstochowie, Wydział Matematyczno-Przyrodniczy",Opracowanie oraz implementacja metod weryfikacji modelowej dla systemów czasu rzeczywistego i wieloagentowych
6,HS6,dr hab.,"Uniwersytet Jagielloński, Wydział Filozoficzny",Rola mechanizmu wiązania oraz integrowania struktur relacyjnych w procesie abstrakcyjnego myślenia i rozumowania: badani...
9,HS6,dr hab.,"Uniwersytet Jagielloński, Wydział Filozoficzny",Mechanizmy wzrokowej pamięci roboczej
10,HS3,dr hab.,Instytut Historii im. Tadeusza Manteuffla Polskiej Akademii Nauk,Sumaryzacja Metryki Koronnej 140
12,HS2,dr hab.,"Uniwersytet Mikołaja Kopernika, Wydział Filologiczny",Przełączanie kodów w warunkach polsko-rosyjskiego bilingwizmu w polskiej wyspie językowej na Syberii (wieś Wierszyna k/I...
1,HS2,dr hab.,Towarzystwo Naukowe Katolickiego Uniwersytetu Lubelskiego Jana Pawła II,Didaskalia i didaskaliczność (w dramacie i nie tylko)
1,ST4,dr hab.,"Uniwersytet Jagielloński, Wydział Chemii",Chemia katalitycznego utleniania sadzy na nanostrukturalnych układach tlenkowych promowanych alkaliami
1,NZ9,dr hab.,Instytut Rozrodu Zwierząt i Badań Żywności PAN,Modulacja odpowiedzi układu immunologicznego śluzówki przewodu pokarmowego porzez indukcję komórek regulatorowych poprze...
7,HS6,dr hab.,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii",Max Weber w teorii postkolonialnej: przypadek polski
1,NZ9,dr hab.,Instytut Rozrodu Zwierząt i Badań Żywności Polskiej Akademii Nauk,Rola prostacykliny i jej receptorów w dialogu zarodek-matka we wczesnej ciąży u świni
1,ST1,dr hab.,"Uniwersytet Warszawski, Wydział Fizyki",Topologiczne grupy kwantowe i kwantowe rodziny odwzorowań
1,HS2,dr hab.,"Uniwersytet Jagielloński, Wydział Historyczny",Muzyka filmowa jako przedmiot badań naukowych
1,NZ6,dr hab.,"Uniwersytet Warszawski, Wydział Biologii",Badania proteomiczne i genetyczne w celu określenia roli szlaku sygnałowego EnvZ/OmpR Yersinia enterocolitica w regulacj...
2,HS2,dr hab.,"Uniwersytet Warszawski, Wydział Neofilologii",Teorie przyrodoznawcze we współczesnej humanistyce: darwinowskie paradygmaty oraz mit Darwina w publikacjach popularnona...
1,NZ4,dr hab.,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu, Wydział Farmaceutyczny",Nowe pochodne beznanilidu o spodziewanym działaniu przeciwnowotworowym
1,ST7,dr hab.,"Akademia Górniczo-Hutnicza im.Stanisława Staszic w Krakowie, Wydział Elektrotechniki,Automatyki,Informatyki i Inżynierii Biomedycznej, Katedra Metrologii i Elektroniki",Badanie właściwości interpolowanego DFT
1,NZ8,dr hab.,"Uniwersytet im. Adama Mickiewicza, Wydział Biologii","Taksonomia molekularna, morfologia i zmienność genetyczna kompleksu gatunków Aneura pinguis (L.) Dumort. (Marchantiopsid..."
1,ST8,dr hab.,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Energetyki i Paliw","Perowskity podwójne z grupy Ba1-xAxY1-yByMn2O5+δ (A: Sr, Ca; B: Sc, Pr, Sm, Gd) dla technologii magazynowania tlenu i ka..."
1,ST8,dr hab.,"Politechnika Śląska, Wydział Mechaniczny Technologiczny",Badania nad zastosowaniem nanostrukturalnych materiałów węglowych do wytwarzania kompozytów i modyfikacji struktury stop...
2,NZ8,dr hab.,Instytut Oceanologii PAN,Badania bioróżnorodności Oceanu Arktycznego jako klucz do zrozumienia ewolucji systemów polarnych i globalnych zmian kli...
12,ST10,dr hab.,Instytut Oceanologii Polskiej Akademii Nauk,Globalne trendy w mineralogii szkieletów mszywiołów i ich znacznie dla rozpoznania wpływu zmian klimatycznych na morskie...
1,HS2,dr hab.,"Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie, Wydział Teologiczny",Locus theologicus w kulturze wizualnej
6,HS4,dr hab.,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych",Redystrybucja dochodów a zadłużenie publiczne - analiza porównawcza państw Unii Europejskiej (podejście statystyczno-eko...
4,ST8,dr hab.,"Politechnika Warszawska, Wydział Mechaniczny Energetyki i Lotnictwa",Badania wpływu procesów dynamicznych na efektywność sezonowego magazynu energii słonecznej
11,ST8,dr hab.,"Politechnika Wrocławska, Wydział Chemiczny",Fotonika nieporządku: nano i mikrorezonatory jako źródła światła laserowego
1,NZ2,dr hab.,"Uniwersytet Warszawski, Wydział Matematyki, Informatyki i Mechaniki",Integracyjna biologia systemów: wnioskowanie z heterogenicznych danych
1,ST2,dr hab.,Instytut Fizyki Jądrowej im. Henryka Niewodniczańskiego PAN,Wydajność detektorów luminescencyjnych na protony dla pomiarów dawki promieniowania kosmicznego na orbicie Ziemi oraz w ...
1,NZ1,dr hab.,"Uniwersytet im. Adama Mickiewicza, Wydział Biologii",Globalna analiza regulatorowych miejsc RNA rozpoznawanych przez czynnik splicingowy MBNL1 - Implikacje dla patomechanizm...
1,HS4,dr hab.,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Ekonomii",Wolność gospodarcza a państwo we współczesnej makroekonomii
1,ST6,dr hab.,"Uniwersytet Warszawski, Wydział Matematyki, Informatyki i Mechaniki",Wybrane Aspekty Skalowalności Metod Eksploracji Danych i Odkrywania Wiedzy w Bazach Danych
1,ST5,dr hab.,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie, Wydział Technologii i Inżynierii Chemicznej",Badanie fotochemicznego rozkładu benzo-[a]-pirenu na powierzchni farby fotokatalitycznej i analiza produktów jego rozkła...
10,ST4,dr hab.,"Uniwersytet Warszawski, Wydział Chemii, Wydział Chemii",Modelowanie oddziaływań w międzycząsteczkowych kompleksach chiralnych
1,ST10,dr hab.,Instytut Geografii i Przestrzennego Zagospodarowania im. S. Leszczyckiego PAN,Rekonstrukcja paleoklimatyczna ostatnich 15 tysięcy lat w świetle analiz rocznie laminowanych osadów Jeziora Czechowskie...
1,ST3,dr hab.,Instytut Wysokich Ciśnień PAN,Od naprężonych stopów do supersieci - własności elektronowe i optyczne azotkowych struktur kwantowych
1,ST5,dr hab.,Centrum Materiałów Polimerowych i Węglowych PAN,Nowe gwieździste nośniki polimerowe do transportu kwasów nukleinowych
2,ST4,dr hab.,"Uniwersytet Warszawski, Wydział Chemii",Wpływ mikrootoczenia na proces peroksydacji lipidów oraz na aktywność antyoksydantów fenolowych - badania kinetyczne i t...
1,HS3,dr hab.,Instytut Archeologii i Etnologii PAN,Obozowiska łowieckie kultury protoneolitycznej w Tanowie na Pomorzu Zachodnim
3,ST10,dr hab.,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Geologii, Geofizyki i Ochrony Środowiska","Geomorfologiczne, hydrogeologiczne i hydrochemiczne kryteria oceny funkcjonowania strefy hyporeicznej rzek zanieczyszczo..."
1,ST5,dr hab.,"Uniwersytet w Białymstoku, Wydział Biologiczno-Chemiczny","Funkcjonalizacja ""małych"" nanocebulek węglowych związkami polifenolowymi oraz ich potencjalne zastosowanie w bioczujnika..."
10,HS1,dr hab.,"Uniwersytet Szczeciński, Wydział Humanistyczny",Intencje i konwencje w komunikacji językowej. Niegrice'owski program w filozofii języka i naukach o poznaniu
1,HS3,dr hab.,Instytut Historii im. Tadeusza Manteuffla PAN,Granica wschodnia cywilizacji zachodniej w średniowieczu
6,HS4,dr hab.,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Ekonomii",Renty polityczne w rolnictwie Unii Europejskiej - analiza komparatywna na podstawie UE27
2,HS4,dr hab.,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Ekonomii",Procesy reprodukcji w rolnictwie w Polsce na tle koniunktury gospodarczej
2,HS4,dr hab.,"Uniwersytet Ekonomiczny w Poznaniu, Wydział Ekonomii",Handel produktami rolno-żywnościowymi międzynarodowych ugrupowań integracyjnych. Podobieństwa i różnice w przepływach to...
1,ST10,dr hab.,Morski Instytut Rybacki – Państwowy Instytut Badawczy,Kumulacja zanieczyszczeń organicznych w tkankach w węgorza europejskiego (Anguilla anguilla) występującego w Polsce
1,ST9,dr hab.,Centrum Badań Kosmicznych PAN,Badanie warunków fizycznych w strukturach korony słonecznej na podstawie analizy ich promieniowania rentgenowskiego.
1,ST2,dr hab.,"Uniwersytet Mikołaja Kopernika, Wydział Fizyki, Astronomii i Informatyki Stosowanej",Spektroskopia strat we wnęce ze stabilizacją częstotliwości (FS-CRDS) nowym narzędziem w ultra precyzyjnych badaniach uk...
6,HS4,dr hab.,"Politechnika Wrocławska, Wydział Informatyki i Zarządzania",Ekonomiczne konsekwencje kształtowania się opinii i podejmowania decyzji przez konsumentów: Modelowanie agentowe dyfuzji...
1,ST5,dr hab.,"Akademia Górniczo-Hutnicza im. Stanisława Staszica w Krakowie, Wydział Inżynierii Materiałowej i Ceramiki",Kompozytowe ceramiczne przewodniki protonowe nowej generacji - mechanizm poprawy odporności chemicznej i wzrostu przewod...
10,ST8,dr hab.,"Politechnika Rzeszowska im. Ignacego Łukasiewicza, Wydział Budowy Maszyn i Lotnictwa, Wydział Budowy Maszyn i Lotnictwa",Wytwarzanie nowoczesnych materiałów gradientowych w procesie sedymentacji w ciałach stałych
1,NZ2,dr hab.,"Uniwersytet Łódzki, Wydział Biologii i Ochrony Środowiska",Opracowanie wielostanowego komputera DNA poprzez zastosowanie wielu enzymów restrykcyjnych
1,HS5,dr hab.,UNIWERSYTET WARSZAWSKI,Rządzenie w przestrzeni ponadnarodowej
9,HS4,dr hab.,"Uniwersytet Ekonomiczny we Wrocławiu, Wydział Nauk Ekonomicznych",Zaradność polskich rodzin
2,HS4,dr hab.,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych",Analiza struktury terminowej kontraktów terminowych na zmienność (indeks VIX). Wpływ fluktuacji zmienności na zachowanie...
7,HS4,dr hab.,"Uniwersytet Warszawski, Wydział Nauk Ekonomicznych",Podatki jako czynnik kształtujący konkurencyjność firm - perspektywa makro- i mikroekonomiczna
2,HS4,dr hab.,"UNIWERSYTET WARSZAWSKI, Wydział Nauk Ekonomicznych",Analiza modelowa integracji polityki fiskalnej w Unii Europejskiej w warunkach kryzysu zadłużenia
3,HS4,dr hab.,Instytut Geografii i Przestrzennego Zagospodarowania im. S. Leszczyckiego PAN,Kompleksowe modelowanie osobowego ruchu drogowego w Polsce wraz z identyfikacją jego lokalnych uwarunkowań społeczno-eko...
1,NZ1,dr hab.,Międzynarodowy Instytut Biologii Molekularnej i Komórkowej,Specyficzności sekwencyjne endonukleaz dwuniciowego RNA i ich determinanty.
9,HS5,dr hab.,"Uniwersytet Warszawski, Instytut Ameryk i Europy",Inwestowanie w kapitał ludzki a lokalny rozwój społeczno-gospodarczy. Analiza empiryczna skutków interwencji publicznej ...
1,NZ9,dr hab.,Instytut Dendrologii PAN,Analiza funkcjonalna białek związanych z nabywaniem i ustępowaniem głębokiego spoczynku fizjologicznego nasion.
1,NZ4,dr hab.,Uniwersytet Rzeszowski,Profil metylacyjny i ekspresja microRNA w różnych typach nowotworów
1,HS4,dr hab.,"Uniwersytet Łódzki, Wydział Ekonomiczno-Socjologiczny","Perspektywa eksploatacji złóż gazu łupkowego w Polsce w świetle koncepcji ""przekleństwa zasobów naturalnych"""
1,HS4,dr hab.,"Szkoła Główna Handlowa, Kolegium Zarządzania i Finansów",Innowacyjność organizacji sieciowych w gospodarce opartej na wiedzy
1,ST4,dr hab.,Instytut Chemii Fizycznej PAN,Organizacja nadcząsteczkowa mało i wielkocząsteczkowych półprzewodników organicznych o potencjalnym zastosowaniu w elekt...
1,ST3,dr hab.,INSTYTUT FIZYKI PAN,Anizotropia magnetyczna ferroelektrycznie odkształconych półprzewodnikowych warstw Ge1-xMnxTe: teoria i eksperyment
8,ST8,dr hab.,"Politechnika Śląska, Wydział Inżynierii Środowiska i Energetyki, Wydział Inżynierii Środowiska i Energetyki",Własne metody numeryczne i pomiarowe w diagnostyce zjawisk przepływowych
6,NZ9,dr hab.,"Uniwersytet Warmińsko-Mazurski w Olsztynie, Wydział Biologii i Biotechnologii",Rola wybranych metabolitów RR (resistance related) z grupy flawonoidów oraz kwasów fenolowych w biosyntezie trichotecenó...
2,HS4,dr hab.,"Instytut Badań Rynku, Konsumpcji i Koniunktur",Kompetencje konsumentów jako stymulanta innowacyjnych zachowań i zrównoważonej konsumpcji
9,HS4,dr hab.,"Instytut Badań Rynku, Konsumpcji i Koniunktur",Liberalizacja rynku usług w Unii Europejskiej jako czynnik podnoszący innowacyjność i konkurencyjność polskich przedsięb...
1,NZ7,dr hab.,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu, Wydział Lekarski I",Charakterystyka czynników ryzyka uszkodzeń barku w dyscyplinach rzutowych
1,ST8,dr hab.,"POLITECHNIKA ŁÓDZKA, Wydział Inżynierii Procesowej i Ochrony Środowiska",Zmineralizowane termożele chitozanowe jako scaffody do hodowli komórkowej
1,NZ1,dr hab.,INSTYTUT FIZYKI PAN,"Inhibitory, agregacja białka i nanorurki węglowe"
2,HS4,dr hab.,Wyższa Szkoła Bankowa we Wrocławiu,Strategie sukcesyjne polskich przedsiębiorstw rodzinnych
3,HS3,dr hab.,"Uniwersytet Warszawski, Ośrodek Badań nad Antykiem Europy Południowo-Wschodniej","Sensacyjny skarb monet z Risan (Czarnogóra). Badania ""lat ciemnych"" w Ilirii"
11,HS3,dr hab.,"Uniwersytet Warszawski, Ośrodek Badań nad Antykiem Europy Południowo-Wschodniej",Obieg monetarny w Mezji i Illirii. Casus znalezisk z Novae (Bułgaria) oraz Risan (Czarnogóra)
10,ST10,dr hab.,Instytut Geografii i Przestrzennego Zagospodarowania im. S. Leszczyckiego Polskiej Akademii Nauk,Zapis reakcji środowiska na zmiany klimatu ostatnich 15 tysięcy lat na linii europejskiego transektu W-E w oparciu o now...
9,HS2,dr hab.,"Uniwersytet Jagielloński, Wydział Filozoficzny, Wydział Filozoficzny",Tańczące łodzie Kryszny: rzeczna kultura świątynna środkowej Kerali i tradycja pieśni vanci-pattu
3,HS4,dr hab.,"Szkoła Główna Handlowa w Warszawie, Kolegium Analiz Ekonomicznych, Instytut Ekonometrii",Średniookresowe wahania udziału wynagrodzenia pracy w PKB: teoria i wyniki empiryczne
10,ST4,dr hab.,Instytut Fizyki Polskiej Akademii Nauk,Oddziaływania peptydów amyloidu beta z jonami metali i błonami lipidowymi: Spojrzenie z symulacji sieciowych i pełnoatom...
1,ST8,dr hab.,INSTYTUT METALURGII I INŻYNIERII MATERIAŁOWEJ PAN IM.A. KRUPKOWSKIEGO,Nanokompozytowe powłoki Ni-W/ZrO2 otrzymywane metodą elektrochemiczną jako alternatywa dla toksycznych powłok chromowych...
3,HS4,dr hab.,"Akademia Morska w Szczecinie, Wydział Inżynieryjno-Ekonomiczny Transportu",Rola lądowo-morskich łańcuchów przewozowych w europejskiej zrównoważonej sieci transportowej
1,NZ2,dr hab.,Centrum Onkologii - Instytut im. Marii Skłodowskiej-Curie,Farmakogenetyka tamoksyfenu; badanie asocjacji w skali genomu w połączeniu z analizą w spektrometrii mas
1,ST7,dr hab.,"Politechnika Śląska, Wydział Automatyki, Elektroniki i Informatyki",Modelowanie i sterowanie w półaktywnych układach zawieszenia pojazdów mechanicznych
1,ST6,dr hab.,"Politechnika Krakowska im. Tadeusza Kościuszki, Wydział Inżynierii Lądowej",Rozwijanie wiarygodnego i efektywnego dwuskalowego modelowania komputerowego niejednorodnych materiałów niesprężystych...
1,NZ7,dr hab.,Instytut Parazytologii im. Witolda Stefańskiego PAN,Fermy jeleniowatych a choroby przenoszone przez kleszcze.
2,NZ9,dr hab.,"Uniwersytet Kazimierza Wielkiego, Wydział Nauk Przyrodniczych",Aleje jako szlaki dyspersji organizmów w krajobrazie rolniczym - analiza przypadku zagrożonego chrząszcza Elater ferrugi...
11,ST8,dr hab.,Instytut Podstawowych Problemów Techniki Polskiej Akademii Nauk,Identyfikacja parametrów reologicznych ośrodków lepkosprężystych na przykładzie ciekłych i stałych polimerów metodą ultr...
6,ST8,dr hab.,"Politechnika Warszawska, Wydział Inżynierii Materiałowej",Wielofunkcyjne kompozytowe biomateriały nanowłókniste dla inżynierii obwodowej tkanki nerwowej
7,ST8,dr hab.,Instytut Podstawowych Problemów Techniki PAN,Zbadanie właściwości termomechanicznych Gumo Metalu - nowego stopu tytanu o wysokich właściwościach sprężysto-plastyczny...
1,ST7,dr hab.,"Politechnika Poznańska, Wydział Elektroniki i Telekomunikacji",Metody zwiększenia przepływności w sieciach WLAN ponad 1 Gb/s
7,NZ4,dr hab.,"Uniwersytet Jagielloński - Collegium Medicum, Collegium Medicum, Wydział Lekarski",Znaczenie układu immunologicznego w patobiologii tętniaków wewnątrzczaszkowych - analiza odpowiedzi systemowej na pęknię...
2,NZ6,dr hab.,"Uniwersytet Warszawski, Wydział Biologii","Badania środowiskowe, opis i charakterystyka biologiczna nowego gatunku Babesia, odkrytego u gryzoni z masywu Synaju (Eg..."
8,NZ5,dr hab.,"Uniwersytet Medyczny im. Karola Marcinkowskiego w Poznaniu, Wydział Farmaceutyczny",Nowe metody badania mechanizmu działania fotouczulaczy in vitro and in vivo
1,NZ4,dr hab.,"Uniwersytet Medyczny w Łodzi, Wydział Lekarski",Ocena profilu molekularnego wyściółczaków wieku dziecięcego w oparciu o zmiany ekspresji genów i zaburzenia epigenetyczn...
10,NZ9,dr hab.,"Uniwersytet Rolniczy im. Hugona Kołłątaja w Krakowie, Wydział Hodowli i Biologii Zwierząt",Udział metaloproteinaz w remodelingu jajnika kury (Gallus domesticus)
2,ST1,dr hab.,"Uniwersytet Jana Kochanowskiego w Kielcach, Wydział Matematyczno-Przyrodniczy",Kategoryjne ujęcie konstrukcji Fraisségo-Jónssona
2,ST5,dr hab.,"Zachodniopomorski Uniwersytet Technologiczny w Szczecinie, Wydział Technologii i Inżynierii Chemicznej",Badania wpływu warunków procesu na stabilność i charakterystykę pracy membran w fotokatalitycznych reaktorach membranowy...
8,ST2,dr hab.,"Uniwersytet Warszawski, Wydział Fizyki",Procesy rozpraszania i pół-rozpraszania w silnych polach laserowych
9,ST1,dr hab.,"Uniwersytet Warszawski, Wydział Fizyki, Wydział Fizyki",Wybrane zagadnienia teorii lokalnie zwartych grup kwantowych
2,HS1,dr hab.,"Politechnika Krakowska im. Tadeusza Kościuszki, Wydział Fizyki, Matematyki i Informatyki",Teorie etyczne a społeczne konstrukcje czasu
2,HS5,dr hab.,Instytut Studiów Politycznych PAN,"Elity administracyjne i polityczne państwa: kariery, tożsamości, relacje"
2,NZ4,dr hab.,Wojskowy Instytut Medycyny Lotniczej,Korelaty zmian magnetyczno-rezonansowych w mózgach zwierząt na diecie wysokotłuszczowej: obraz histologiczny i zachowani...
10,ST5,dr hab.,Centrum Badań Molekularnych i Makromolekularnych Polskiej Akademii Nauk,"Dwuniciowe sondy, w których obydwa składowe oligonukleotydy hybrydyzują dzięki oddziaływaniom Hoogsteena, zawierające P-..."
1,NZ7,dr hab.,"Instytut ""Centrum Zdrowia Matki Polki""",Udział enterohormonów w patogenezie i rozwoju choroby zaparciowej u dzieci.
10,ST5,dr hab.,"Uniwersytet Jagielloński, Wydział Chemii",Inżynieria stanów elektronowych fotokatalizatorów półprzewodnikowych
2,ST4,dr hab.,"Politechnika Wrocławska, Wydział Chemiczny",Teoretyczne badania procesów rezonansowego przenoszenia energii w modelowych układach oraz w spiralnych agregatach barwn...
12,ST4,dr hab.,"Politechnika Wrocławska, Wydział Chemiczny",Fotochemia i fotofizyka procesów prebiotycznej syntezy prekursorów biomolekuł.
7,NZ5,dr hab.,Centrum Medyczne Kształcenia Podyplomowego,"Analiza zależności na poziomie metabolomu, miRNomu i transkryptomu w raku nerki człowieka: poszukiwanie regulatorów meta..."
11,ST10,dr hab.,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Nauk Geograficznych i Geologicznych",Atmosferyczne uwarunkowania występowania upwellingu przybrzeżnego w Morzu Bałtyckim
2,NZ9,dr hab.,"Politechnika Łódzka, Wydział Biotechnologii i Nauk o Żywności",Interakcje białka oraz hydrolizatów białkowych z kwasami hydroksycynamonowymi o właściwościach przeciwutleniających w ba...
2,ST7,dr hab.,"Uniwersytet im. Adama Mickiewicza, Wydział Fizyki",Ultradźwiękowe i cieplne badania biokompatybilnych cieczy magnetycznych
2,ST5,dr hab.,"Uniwersytet im. Adama Mickiewicza, Wydział Chemii",Nowa metoda funkcjonalizacji sprzężonych dienów i dwupodstawionych etenów
8,NZ9,dr hab.,Instytut Genetyki Roślin PAN,Genetyczne podstawy biosyntezy cyklicznych peptydów przez patogeniczne grzyby z rzędu Hypocreales
10,NZ9,dr hab.,"Uniwersytet im. Adama Mickiewicza w Poznaniu, Wydział Biologii",Genomika środowiskowa czterech gatunków sosen (rodzaj Pinus) w Europie.
2,HS6,dr hab.,"Chrześcijańska Akademia Teologiczna w Warszawie, Wydział Pedagogiczny","Racjonalność kształcenia szkolnego w perspektywie ""interesów poznawczych"" jego uczestników"
10,ST10,dr hab.,"Uniwersytet Śląski w Katowicach, Wydział Nauk o Ziemi",Tafonomia eksperymentalna kluczem do poznania przeszłości - ocena hydrodynamicznej i biologicznej fragmentacji szkieletó...
2,ST5,dr hab.,"UNIWERSYTET ŁÓDZKI, Wydział Chemii",Kompleksy metalokarbonylowe immobilizowane na nanocząstkach magnetycznych - makrocząsteczki zdolne do uwalniania tlenku ...
2,ST7,dr hab.,"Przemysłowy Instytut Automatyki i Pomiarów ""PIAP""",Modelowanie dynamiki mobilnego robota czterokołowego i sterowanie jego ruchem nadążnym z ograniczeniem poślizgu kół jezd...
3,HS2,dr hab.,"Uniwersytet Warszawski, Wydział ""Artes Liberales""","""Styl późny"" w twórczości Jose Saramago"
2,NZ9,dr hab.,Instytut Hodowli i Aklimatyzacji Roślin - Państwowy Instytut Badawczy,"Badanie mechanizmów modyfikacji struktury arabinoksylanów w układach modelowych chleba żytniego, jej wpływ na zdolność c..."
2,NZ1,dr hab.,Instytut Katalizy i Fizykochemii Powierzchni im. Jerzego Habera PAN,Struktura i funkcja dioksygenaz acireduktonu - badania doświadczalne i obliczeniowe.
2,NZ3,dr hab.,Instytut Biologii Doświadczalnej im. M. Nenckiego PAN,Rola białka szoku cieplnego HSP72 w rozwoju insulinooporności indukowanej przez lipidy w mięśniach szkieletowych
7,NZ4,dr hab.,Instytut Biologii Doświadczalnej im. M. Nenckiego PAN,Desaturaza stearoilo-CoA i wewnątrzokmórkowe lipidowe szlaki sygnałowe jako nowe czynniki regulujące działanie hormonów ...
1,ST7,dr hab.,"Uniwersytet Łódzki, Wydział Matematyki i Informatyki",Jednowymiarowe i dwuwymiarowe układy sterowania optymalnego niecałkowitego rzędu
2,HS4,dr hab.,"Uniwersytet Marii Curie-Skłodowskiej, Wydział Ekonomiczny",Adaptacja przedsiębiorstw krajowych do zmian klimatycznych w świetle założeń polityki ograniczania emisji
9,ST10,dr hab.,Instytut Geofizyki PAN,Rozwój i adaptacja techniki inwersji czasowej do analizy sejsmicznego pola falowego
6,ST5,dr hab.,"Uniwersytet Jagielloński, Wydział Chemii","Dwufunkcyjne kompozyty węglowo-tlenkowe typu ""core-shell"" do eliminacji lotnych związków organicznych metodą adsorpcyjno..."
11,ST5,dr hab.,"Uniwersytet Jagielloński, Wydział Chemii","Polielektrolity blokowe regulujące krzepliwość krwi - synteza, badania fizykochemiczne i biologiczne"
2,ST5,dr hab.,"Politechnika Łódzka, Wydział Chemiczny",Synteza i charakterystyka nowych katalizatorów o zróżnicowanej morfologii do konwersji biomasy
10,ST10,dr hab.,Instytut Geofizyki Polskiej Akademii Nauk,Trójwymiarowy model litosfery obszaru Polski z rozpoznaniem sejsmicznych parametrów pola falowego
11,ST10,dr hab.,Instytut Geofizyki Polskiej Akademii Nauk,"Relacja wieloletniej zmarzliny z rzeźbą, budową geologiczną i komponentami kriosfery w oparciu o badania geofizyczne prz..."
8,ST3,dr hab.,Instytut Wysokich Ciśnień PAN,Kompleksowe badania supersieci ZnO/MgO o strukturze wurcytu
3,ST8,dr hab.,"Politechnika Lubelska, Wydział Mechaniczny",Badania eksperymentalne i modelowe procesu roboczego silnika HCCI z wewnętrzną recyrkulacją spalin w aspekcie zmienności...
